Open,High,Low,Volume,Close
13521.81,13594.85,12701.98,26436570,12801.78
12801.78,13115.71,12476.41,24494978,12736.96
12736.96,13243.09,12602.58,34881112,13238.66
13238.66,13340.49,12867.21,32364260,12923.43
12923.43,13601.46,12923.43,40361712,13601.46
13601.46,13906.3,13545.35,40852652,13719.88
13719.88,13915.61,13610.78,32243000,13875.62
13875.62,13985.59,13590.21,32408000,13698.67
13698.67,13735.67,13379.3,32801146,13713.5
13713.5,14130.21,13674.78,38342124,14130.21
14130.21,14214.16,13738.45,29241290,13870.23
13870.23,14100.26,13828.38,28104244,14100.26
14100.26,14303.69,13997.24,32605768,14104.49
14104.49,14176.27,13864.41,22610864,14036.77
14036.77,14265.87,13665.28,33470384,13789.0
13789.0,13789.0,13343.17,21780912,13464.74
13464.74,13480.0,12930.53,24406946,13233.08
13233.08,13257.82,12829.72,28158568,12903.7
12903.7,13022.98,12697.17,29996188,12945.09
12945.09,13316.82,12492.09,40679880,13304.0
13304.0,13674.03,13202.11,47431248,13586.09
13586.09,13659.04,12874.97,40113284,12990.07
12990.07,13181.05,12812.39,30842122,12972.84
12972.84,13060.31,12822.64,36286516,12961.42
12961.42,13225.42,12936.92,35772644,13196.91
13196.91,13274.37,12689.36,38139844,12776.02
12776.02,12776.02,12343.41,42816712,12711.87
12711.87,13194.52,12711.87,56862136,13185.83
13185.83,13352.39,13060.89,45186656,13158.73
13158.73,13242.28,12964.34,51415396,13051.52
13051.52,13122.62,12884.09,36553096,12960.69
12960.69,13376.5,12960.69,55991684,13308.02
13308.02,13484.26,12935.18,61319276,13132.06
13132.06,13194.72,12976.78,36616804,13070.15
13070.15,13192.7,13008.59,40319652,13192.7
13193.0,13239.0,12975.0,48819384,13167.63
13233.46,13309.26,12917.51,62758052,13039.63
13039.63,13095.21,12253.52,82082096,12297.44
12297.44,12417.19,11910.09,63494640,12172.45
12172.45,12244.01,11459.02,48029352,11562.8
11562.8,11755.74,11069.07,66573460,11630.88
11630.88,12028.23,11608.55,57877732,11769.59
11769.59,11908.03,11325.81,46384448,11498.92
11499.0,11528.0,11359.0,42165176,11466.21
11466.21,11466.21,10743.14,37664156,10862.21
10862.21,10873.78,10310.47,34218664,10378.43
10378.43,11205.01,10378.43,55564752,11190.7
11190.7,11560.2,10888.32,63589256,11320.78
11321.0,11370.0,10876.0,42467960,11110.27
11100.27,11523.84,11051.26,49872088,11514.87
11514.87,11535.34,11039.66,48141160,11360.45
11360.45,11453.06,11167.21,34948696,11294.62
11294.62,11553.03,11218.58,36525792,11293.28
11293.28,11369.45,11124.1,22136560,11350.3
11350.3,11411.53,11127.42,23476552,11411.53
11411.53,11569.34,11342.32,34122228,11567.43
11567.43,11718.76,11343.92,43755088,11694.39
11694.39,11905.99,11496.95,54360796,11744.98
11744.98,12533.84,11687.84,79212952,12460.18
12460.18,12644.04,12030.78,59510872,12070.97
12070.97,13115.15,12070.97,90470648,13009.39
13009.39,13368.38,12761.83,85029856,12874.09
12874.09,13295.87,12874.09,73707280,13145.09
13145.09,13145.09,12502.8,59048672,13015.35
13015.35,13900.56,13015.35,81745400,13900.56
13900.56,13937.17,13531.68,61196664,13764.46
13764.46,13907.51,13406.87,76880128,13521.96
13521.96,13739.74,13413.52,49759960,13534.53
13534.53,14059.0,13421.25,67884768,13581.38
13581.38,13581.38,13115.02,41518440,13205.36
13205.36,13603.09,13102.64,56317804,13603.09
13603.09,13734.94,13239.81,65413272,13361.1
13361.1,13375.91,13064.65,47183040,13354.29
13354.29,13548.38,13147.14,47377748,13227.84
13227.84,13439.73,13188.28,40245576,13347.24
13347.24,13679.05,13347.24,60891320,13538.44
13538.44,14101.46,13538.44,52787448,14079.07
14079.07,14516.18,14010.56,81868128,14516.18
14567.21,14932.55,14481.26,89616312,14802.95
14802.95,14819.81,14245.04,58441032,14369.45
14369.45,14380.59,13937.19,41756816,14215.33
14215.33,14276.35,13297.75,61969424,13581.34
13581.34,13788.69,13325.6,42118364,13740.15
13740.15,13994.12,13698.34,57290460,13801.05
13801.05,13849.6,13223.01,31137942,13269.38
13269.38,13613.13,12667.16,59128484,13299.1
13299.1,13578.28,13136.05,47170184,13526.5
13526.5,13559.66,13056.19,34776156,13183.07
13183.07,13198.04,12705.49,34398052,12831.55
12831.55,12831.55,11854.98,32252462,11916.85
11916.85,12147.53,11222.59,39339836,11313.97
11313.97,11621.06,10333.04,71038680,11554.45
11554.45,11584.27,11037.35,46816340,11186.85
11186.85,11232.3,10678.82,42401416,10808.54
10808.54,11245.54,10510.26,38846368,10596.5
10596.5,10612.51,9323.17,52844764,9641.68
9641.68,9991.24,8867.32,103488912,9512.51
9512.51,9810.75,8701.5,74041048,8747.68
8747.68,8966.73,7792.28,65617692,7977.83
7977.83,8070.48,7109.02,58554164,7329.61
7329.61,8755.29,7329.61,65785404,8755.29
8755.29,10428.51,8755.29,46039424,10387.38
10387.38,10780.95,9277.04,90078368,9364.17
9364.17,9799.48,8773.07,82317752,9799.48
9799.48,10219.05,9434.34,53746256,9753.63
9753.63,9779.4,9371.84,38084504,9626.87
9626.87,9626.87,8483.68,56893708,9010.5
